
TRAINING STARTING AT: 2026-06-09 19:59:26.531023
Model: SSL_models_pt/SSL_model_lr6e4_PAM_fold1_seed42.pt | SEED: 42
Epoch: 1/50 | tr_loss: 0.2173 | val_loss: 0.3034 | epoch_time: 27.70s
Epoch: 2/50 | tr_loss: 0.0978 | val_loss: 0.2714 | epoch_time: 3.49s
Epoch: 3/50 | tr_loss: 0.0803 | val_loss: 0.2491 | epoch_time: 3.50s
Epoch: 4/50 | tr_loss: 0.0736 | val_loss: 0.2410 | epoch_time: 3.41s
Epoch: 5/50 | tr_loss: 0.0679 | val_loss: 0.2311 | epoch_time: 3.42s
Epoch: 6/50 | tr_loss: 0.0616 | val_loss: 0.2185 | epoch_time: 3.41s
Epoch: 7/50 | tr_loss: 0.0594 | val_loss: 0.2142 | epoch_time: 3.40s
Epoch: 8/50 | tr_loss: 0.0575 | val_loss: 0.2161 | epoch_time: 3.42s
Epoch: 9/50 | tr_loss: 0.0570 | val_loss: 0.2115 | epoch_time: 3.42s
Epoch: 10/50 | tr_loss: 0.0555 | val_loss: 0.2056 | epoch_time: 3.43s
Epoch: 11/50 | tr_loss: 0.0536 | val_loss: 0.2053 | epoch_time: 3.42s
Epoch: 12/50 | tr_loss: 0.0534 | val_loss: 0.2049 | epoch_time: 3.49s
Epoch: 13/50 | tr_loss: 0.0516 | val_loss: 0.2061 | epoch_time: 3.45s
Epoch: 14/50 | tr_loss: 0.0518 | val_loss: 0.1984 | epoch_time: 3.43s
Epoch: 15/50 | tr_loss: 0.0472 | val_loss: 0.1959 | epoch_time: 3.45s
Epoch: 16/50 | tr_loss: 0.0489 | val_loss: 0.1978 | epoch_time: 3.46s
Epoch: 17/50 | tr_loss: 0.0457 | val_loss: 0.1951 | epoch_time: 3.42s
Epoch: 18/50 | tr_loss: 0.0460 | val_loss: 0.1962 | epoch_time: 3.42s
Epoch: 19/50 | tr_loss: 0.0460 | val_loss: 0.1928 | epoch_time: 3.42s
Epoch: 20/50 | tr_loss: 0.0448 | val_loss: 0.1950 | epoch_time: 3.42s
Epoch: 21/50 | tr_loss: 0.0443 | val_loss: 0.1972 | epoch_time: 3.40s
Epoch: 22/50 | tr_loss: 0.0446 | val_loss: 0.1917 | epoch_time: 3.42s
Epoch: 23/50 | tr_loss: 0.0423 | val_loss: 0.1864 | epoch_time: 3.41s
Epoch: 24/50 | tr_loss: 0.0428 | val_loss: 0.1815 | epoch_time: 3.41s
Epoch: 25/50 | tr_loss: 0.0437 | val_loss: 0.1927 | epoch_time: 3.42s
Epoch: 26/50 | tr_loss: 0.0422 | val_loss: 0.1943 | epoch_time: 3.41s
Epoch: 27/50 | tr_loss: 0.0411 | val_loss: 0.1895 | epoch_time: 3.41s
Epoch: 28/50 | tr_loss: 0.0404 | val_loss: 0.1873 | epoch_time: 3.40s
Epoch: 29/50 | tr_loss: 0.0395 | val_loss: 0.1852 | epoch_time: 3.41s
TRAINING ENDING AT: 2026-06-09 20:01:31.216107

TRAINING STARTING AT: 2026-06-09 20:01:31.466604
Model: SSL_models_pt/SSL_model_lr6e4_PAM_fold1_seed58.pt | SEED: 58
Epoch: 1/50 | tr_loss: 0.2190 | val_loss: 0.3036 | epoch_time: 3.62s
Epoch: 2/50 | tr_loss: 0.0978 | val_loss: 0.2746 | epoch_time: 3.44s
Epoch: 3/50 | tr_loss: 0.0805 | val_loss: 0.2527 | epoch_time: 3.42s
Epoch: 4/50 | tr_loss: 0.0718 | val_loss: 0.2506 | epoch_time: 3.41s
Epoch: 5/50 | tr_loss: 0.0665 | val_loss: 0.2425 | epoch_time: 3.41s
Epoch: 6/50 | tr_loss: 0.0648 | val_loss: 0.2275 | epoch_time: 3.41s
Epoch: 7/50 | tr_loss: 0.0590 | val_loss: 0.2229 | epoch_time: 3.42s
Epoch: 8/50 | tr_loss: 0.0617 | val_loss: 0.2292 | epoch_time: 3.41s
Epoch: 9/50 | tr_loss: 0.0575 | val_loss: 0.2088 | epoch_time: 3.40s
Epoch: 10/50 | tr_loss: 0.0536 | val_loss: 0.2138 | epoch_time: 3.49s
Epoch: 11/50 | tr_loss: 0.0542 | val_loss: 0.2112 | epoch_time: 3.43s
Epoch: 12/50 | tr_loss: 0.0512 | val_loss: 0.2077 | epoch_time: 3.41s
Epoch: 13/50 | tr_loss: 0.0508 | val_loss: 0.2092 | epoch_time: 3.44s
Epoch: 14/50 | tr_loss: 0.0491 | val_loss: 0.2029 | epoch_time: 3.52s
Epoch: 15/50 | tr_loss: 0.0479 | val_loss: 0.2058 | epoch_time: 3.52s
Epoch: 16/50 | tr_loss: 0.0504 | val_loss: 0.2047 | epoch_time: 3.48s
Epoch: 17/50 | tr_loss: 0.0486 | val_loss: 0.1995 | epoch_time: 3.44s
Epoch: 18/50 | tr_loss: 0.0510 | val_loss: 0.2129 | epoch_time: 3.42s
Epoch: 19/50 | tr_loss: 0.0459 | val_loss: 0.1988 | epoch_time: 3.40s
Epoch: 20/50 | tr_loss: 0.0468 | val_loss: 0.1959 | epoch_time: 3.42s
Epoch: 21/50 | tr_loss: 0.0439 | val_loss: 0.2001 | epoch_time: 3.43s
Epoch: 22/50 | tr_loss: 0.0437 | val_loss: 0.1919 | epoch_time: 3.41s
Epoch: 23/50 | tr_loss: 0.0426 | val_loss: 0.1955 | epoch_time: 3.44s
Epoch: 24/50 | tr_loss: 0.0415 | val_loss: 0.1956 | epoch_time: 3.41s
Epoch: 25/50 | tr_loss: 0.0420 | val_loss: 0.1934 | epoch_time: 3.42s
Epoch: 26/50 | tr_loss: 0.0417 | val_loss: 0.1878 | epoch_time: 3.42s
Epoch: 27/50 | tr_loss: 0.0417 | val_loss: 0.1913 | epoch_time: 3.41s
Epoch: 28/50 | tr_loss: 0.0398 | val_loss: 0.1857 | epoch_time: 3.42s
Epoch: 29/50 | tr_loss: 0.0410 | val_loss: 0.1889 | epoch_time: 3.49s
Epoch: 30/50 | tr_loss: 0.0410 | val_loss: 0.1915 | epoch_time: 3.39s
Epoch: 31/50 | tr_loss: 0.0392 | val_loss: 0.1889 | epoch_time: 3.39s
Epoch: 32/50 | tr_loss: 0.0375 | val_loss: 0.1922 | epoch_time: 3.43s
Epoch: 33/50 | tr_loss: 0.0390 | val_loss: 0.1893 | epoch_time: 3.41s
TRAINING ENDING AT: 2026-06-09 20:03:25.027337

TRAINING STARTING AT: 2026-06-09 20:03:25.291260
Model: SSL_models_pt/SSL_model_lr6e4_PAM_fold1_seed7.pt | SEED: 7
Epoch: 1/50 | tr_loss: 0.2229 | val_loss: 0.2823 | epoch_time: 3.59s
Epoch: 2/50 | tr_loss: 0.0942 | val_loss: 0.2634 | epoch_time: 3.44s
Epoch: 3/50 | tr_loss: 0.0801 | val_loss: 0.2491 | epoch_time: 3.41s
Epoch: 4/50 | tr_loss: 0.0736 | val_loss: 0.2351 | epoch_time: 3.44s
Epoch: 5/50 | tr_loss: 0.0681 | val_loss: 0.2248 | epoch_time: 3.42s
Epoch: 6/50 | tr_loss: 0.0640 | val_loss: 0.2181 | epoch_time: 3.43s
Epoch: 7/50 | tr_loss: 0.0603 | val_loss: 0.2172 | epoch_time: 3.42s
Epoch: 8/50 | tr_loss: 0.0570 | val_loss: 0.2095 | epoch_time: 3.43s
Epoch: 9/50 | tr_loss: 0.0538 | val_loss: 0.2049 | epoch_time: 3.52s
Epoch: 10/50 | tr_loss: 0.0553 | val_loss: 0.2008 | epoch_time: 3.52s
Epoch: 11/50 | tr_loss: 0.0521 | val_loss: 0.2073 | epoch_time: 3.53s
Epoch: 12/50 | tr_loss: 0.0508 | val_loss: 0.1981 | epoch_time: 3.45s
Epoch: 13/50 | tr_loss: 0.0494 | val_loss: 0.1949 | epoch_time: 3.41s
Epoch: 14/50 | tr_loss: 0.0477 | val_loss: 0.1922 | epoch_time: 3.42s
Epoch: 15/50 | tr_loss: 0.0455 | val_loss: 0.1922 | epoch_time: 3.47s
Epoch: 16/50 | tr_loss: 0.0475 | val_loss: 0.1911 | epoch_time: 3.46s
Epoch: 17/50 | tr_loss: 0.0459 | val_loss: 0.1895 | epoch_time: 3.50s
Epoch: 18/50 | tr_loss: 0.0450 | val_loss: 0.1972 | epoch_time: 3.42s
Epoch: 19/50 | tr_loss: 0.0467 | val_loss: 0.1908 | epoch_time: 3.44s
Epoch: 20/50 | tr_loss: 0.0446 | val_loss: 0.1853 | epoch_time: 3.45s
Epoch: 21/50 | tr_loss: 0.0423 | val_loss: 0.1846 | epoch_time: 3.53s
Epoch: 22/50 | tr_loss: 0.0430 | val_loss: 0.1836 | epoch_time: 3.54s
Epoch: 23/50 | tr_loss: 0.0401 | val_loss: 0.1849 | epoch_time: 3.51s
Epoch: 24/50 | tr_loss: 0.0454 | val_loss: 0.1891 | epoch_time: 3.49s
Epoch: 25/50 | tr_loss: 0.0413 | val_loss: 0.1823 | epoch_time: 3.42s
Epoch: 26/50 | tr_loss: 0.0408 | val_loss: 0.1806 | epoch_time: 3.42s
Epoch: 27/50 | tr_loss: 0.0423 | val_loss: 0.1866 | epoch_time: 3.42s
Epoch: 28/50 | tr_loss: 0.0398 | val_loss: 0.1784 | epoch_time: 3.41s
Epoch: 29/50 | tr_loss: 0.0388 | val_loss: 0.1824 | epoch_time: 3.40s
Epoch: 30/50 | tr_loss: 0.0369 | val_loss: 0.1768 | epoch_time: 3.43s
Epoch: 31/50 | tr_loss: 0.0377 | val_loss: 0.1798 | epoch_time: 3.40s
Epoch: 32/50 | tr_loss: 0.0389 | val_loss: 0.1828 | epoch_time: 3.59s
Epoch: 33/50 | tr_loss: 0.0380 | val_loss: 0.1830 | epoch_time: 3.42s
Epoch: 34/50 | tr_loss: 0.0391 | val_loss: 0.1825 | epoch_time: 3.43s
Epoch: 35/50 | tr_loss: 0.0377 | val_loss: 0.1741 | epoch_time: 3.43s
Epoch: 36/50 | tr_loss: 0.0371 | val_loss: 0.1737 | epoch_time: 3.44s
Epoch: 37/50 | tr_loss: 0.0349 | val_loss: 0.1774 | epoch_time: 3.43s
Epoch: 38/50 | tr_loss: 0.0370 | val_loss: 0.1713 | epoch_time: 3.43s
Epoch: 39/50 | tr_loss: 0.0344 | val_loss: 0.1765 | epoch_time: 3.43s
Epoch: 40/50 | tr_loss: 0.0339 | val_loss: 0.1734 | epoch_time: 3.56s
Epoch: 41/50 | tr_loss: 0.0337 | val_loss: 0.1746 | epoch_time: 3.56s
Epoch: 42/50 | tr_loss: 0.0347 | val_loss: 0.1804 | epoch_time: 3.53s
Epoch: 43/50 | tr_loss: 0.0337 | val_loss: 0.1780 | epoch_time: 3.44s
TRAINING ENDING AT: 2026-06-09 20:05:56.696325

TRAINING STARTING AT: 2026-06-09 20:05:56.980782
Model: SSL_models_pt/SSL_model_lr6e4_PAM_fold1_seed128.pt | SEED: 128
